domain,name,country,source
rohlik.group,Rohlik,Czech Republic,wikipedia
upgrad.com,upGrad,India,manual
workhuman.com,Workhuman,Ireland,manual
happyrobot.ai,HappyRobot,United States,manual
sysdig.com,Sysdig,United States,manual
starcloud.com,Starcloud,United States,wikidata
deputy.com,Deputy,Australia,wikidata
acko.com,Acko,India,wikidata
apna.co,Apna,India,manual
carousell.com,Carousell,Singapore,wikidata
coindcx.com,CoinDCX,India,manual
purplle.com,Purplle,India,manual
globalbees.com,GlobalBees,India,manual
nexthink.com,Nexthink,Switzerland,wikipedia
sisense.com,Sisense,Israel,wikidata
drools.com,Drools,India,manual
smartnews.com,SmartNews,Japan,manual
substack.com,Substack,United States,wikidata
traxretail.com,Trax,Singapore,wikidata
virtahealth.com,Virta Health,United States,manual
younited.com,YouniteD,France,manual
benevity.com,Benevity,Canada,wikidata
zego.com,Zego,United Kingdom,manual
substrate.com,Substrate,United States,manual
aikido.dev,Aikido Security,Belgium,wikipedia
character.ai,Character.ai,United States,wikidata
pentera.io,Pentera,Israel,wikidata
vectorbuilder.com,VectorBuilder Inc.,United States,manual
emplifi.io,Emplifi,United States,wikidata
gymshark.com,Gymshark,United Kingdom,wikidata
kopikenangan.com,Kopi Kenangan,Indonesia,wikidata
clara.com,Clara,Mexico,manual
classdojo.com,ClassDojo,United States,wikidata
daojia.com,58 Daojia,China,manual
acronis.com,Acronis,Singapore,wikidata
aircall.io,Aircall,France,manual
ajaib.co.id,Ajaib,Indonesia,manual
ambergroup.io,Amber Group,Hong Kong,manual
appdirect.com,AppDirect,United States,manual
aquasec.com,Aqua Security,Israel,manual
assent.com,Assent Compliance,Canada,manual
olakrutrim.com,Krutrim,India,manual
bluecore.com,Bluecore,United States,manual
bringg.com,Bringg,Israel,manual
cadence.care,Cadence Solutions Inc.,United States,manual
carro.co,Carro,Singapore,manual
upbit.com,Dunamu,South Korea,wikidata
dxy.cn,DXY,China,manual
earnix.com,Earnix,Israel,manual
ebanx.com,Ebanx,Brazil,manual
esentire.com,eSentire,Canada,manual
flashexpress.co.th,Flash Express,Thailand,manual
flexe.com,Flexe,United States,manual
freshbooks.com,FreshBooks,Canada,wikidata
fxiaoke.com,FXiaoKe,China,manual
gelato.com,Gelato,Norway,manual
geocomply.com,GeoComply,Canada,manual
getyourguide.com,GetYourGuide,Germany,wikidata
glance.com,Glance,India,wikidata
go1.com,Go1,Australia,manual
gousto.co.uk,Gousto,United Kingdom,wikidata
grover.com,Grover,Germany,manual
hailo.ai,Hailo,Israel,manual
highradius.com,HighRadius,India,manual
flo.health,Flo Health,Lithuania,wikipedia
icarbonx.com,iCarbonX,China,wikidata
ifood.com.br,IFood,Brazil,wikidata
igaworks.com,IGAWorks,South Korea,manual
improbable.io,Improbable,United Kingdom,wikidata
infobip.com,Infobip,Croatia,wikidata
injective.com,Injective,United States,wikipedia
inmobi.com,InMobi,India,wikidata
ivalua.com,Ivalua,France,manual
hellosimply.com,JoyTunes,Israel,wikidata
justsalad.com,Just Salad,United States,wikidata
kendrascott.com,Kendra Scott LLC,United States,manual
kitopi.com,Kitopi,United Arab Emirates,manual
klook.com,Klook,Hong Kong,wikipedia
letsgetchecked.com,LetsGetChecked,Ireland,manual
sumeria.eu,Lydia,France,manual
lmax.com,LMAX Group,United Kingdom,wikidata
locusrobotics.com,Locus Robotics,United States,manual
loft.com.br,Loft Brazil Technology,Brazil,manual
lunar.app,Lunar,Denmark,manual
loggi.com,Loggi,Brazil,manual
lookout.com,Lookout,United States,manual
madeiramadeira.com.br,MadeiraMadeira,Brazil,manual
maimai.cn,Maimai,China,manual
masterworks.com,Masterworks,United States,wikidata
meero.com,Meero,France,manual
brndme.in,Mensa Brands,India,manual
mindmazetherapeutics.com,MindMaze,Switzerland,manual
sentz.com,MobileCoin,United States,manual
moglix.com,Moglix,India,wikidata
morningconsult.com,Morning Consult,United States,wikidata
ninjavan.co,Ninja Van,Singapore,wikidata
nium.com,Nium,Singapore,wikidata
nobroker.in,NoBroker,India,wikidata
kredivo.com,Kredivo,Indonesia,manual
ocsial.com,OCSiAl,Luxembourg,wikidata
omise.co,Opn (Synqa),Japan,manual
orcam.com,OrCam,Israel,wikidata
pandadoc.com,PandaDoc,United States,wikidata
pantheon.io,Pantheon Systems,United States,wikidata
patsnap.com,PatSnap,Singapore,manual
picsart.com,Picsart,Armenia,wikidata
redis.io,Redis Labs,Israel,manual
reeftechnology.com,REEF Technology,United States,manual
quizlet.com,Quizlet,United States,wikidata
sennder.com,Sennder,Germany,manual
shift-technology.com,Shift Technology,France,manual
goshippo.com,Shippo,United States,wikidata
sift.com,Sift,United States,manual
slice.bank.in,Slice,India,wikipedia
smartasset.com,SmartAsset,United States,wikidata
smartmore.com,SmartMore,China,manual
snapdeal.com,Snapdeal,India,wikidata
socket.dev,Socket,United States,manual
spendesk.com,Spendesk,France,manual
splashtop.com,Splashtop,United States,wikidata
staffbase.com,Staffbase,Germany,manual
swile.co,Swile,France,manual
synthesia.io,Synthesia,United Kingdom,wikidata
taxfix.de,Taxfix,Germany,manual
tekion.com,Tekion,United States,manual
tenstorrent.com,Tenstorrent,Canada,manual
tezign.com,Tezign,China,manual
thatch.com,Thatch,United States,manual
xiaodun.com,Tongdun Technology,China,manual
tractable.ai,Tractable,United Kingdom,wikipedia
tresata.ai,Tresata,United States,manual
truelayer.com,TrueLayer,United Kingdom,manual
trustly.com,Trustly,Sweden,wikidata
turo.com,Turo,United States,wikidata
vagaro.com,Vagaro,United States,wikidata
verse.in,VerSe Innovation,India,manual
visier.com,Visier,Canada,manual
volocopter.com,volocopter,Germany,wikidata
voxmedia.com,Vox Media,United States,wikidata
vts.com,VTS,United States,manual
wacai.com,Wacai.com,China,manual
welab.co,WeLab,Hong Kong,wikidata
womai.com,Womai,China,manual
xendit.co,Xendit,Indonesia,manual
xiaozhu.com,Xiaozhu.com,China,wikidata
yhglobal.com,YH Global,China,manual
